Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/2 - elaborazione del 14-MAG-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;20;Abitazioni civili;NORMALE;P;8700;10900;L;25;35;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;20;Abitazioni civili;OTTIMO; ;11000;15300;L;35,1;50;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;19;Abitazioni signorili;OTTIMO;P;13000;20000;L;40;57;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;19;Abitazioni signorili;NORMALE; ;9300;12900;L;28;39,9;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;13;Box;NORMALE;P;4500;6500;L;15;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;9;Magazzini;NORMALE;P;2250;3500;L;12;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;5;Negozi;OTTIMO; ;14600;29000;L;92,1;180;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;5;Negozi;NORMALE;P;9000;14500;L;55;92;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;6;Uffici;OTTIMO;P;9000;13000;L;38;59;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;18;Uffici strutturati;OTTIMO;P;9500;17000;L;44;80;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B12;MI00003228;10;Laboratori;NORMALE;P;2700;3200;L;15,5;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;NORMALE;P;6700;8700;L;19;26;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;20;Abitazioni civili;OTTIMO; ;8800;10200;L;26,1;35;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;19;Abitazioni signorili;OTTIMO;P;9700;12500;L;33,1;41;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;19;Abitazioni signorili;NORMALE; ;7100;9700;L;24;33;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;13;Box;NORMALE;P;2650;3800;L;11;16,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;9;Magazzini;NORMALE;P;1550;2300;L;8,7;13,3;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;5;Negozi;OTTIMO; ;6800;9000;L;38,1;55;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;5;Negozi;NORMALE;P;4000;6700;L;23;38;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;6;Uffici;OTTIMO;P;5500;8300;L;25;38;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;18;Uffici strutturati;OTTIMO;P;6500;9000;L;29;41;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B13;MI00003232;10;Laboratori;NORMALE;P;2200;2900;L;12,2;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;20;Abitazioni civili;NORMALE;P;9500;12000;L;26;35;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;20;Abitazioni civili;OTTIMO; ;12100;16000;L;35,1;49;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;19;Abitazioni signorili;OTTIMO;P;14000;21000;L;36,1;50;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;19;Abitazioni signorili;NORMALE; ;10000;13900;L;26,1;36;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;13;Box;NORMALE;P;4000;5500;L;17;25;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;9;Magazzini;NORMALE;P;1600;2500;L;8,5;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;5;Negozi;OTTIMO; ;11400;20000;L;65,1;110;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;5;Negozi;NORMALE;P;7100;11300;L;37;65;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;6;Uffici;OTTIMO;P;6500;11000;L;26;49;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;18;Uffici strutturati;OTTIMO;P;7000;12000;L;37;57;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B15;MI00003544;10;Laboratori;NORMALE;P;2600;3500;L;12;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;20;Abitazioni civili;NORMALE;P;7000;9400;L;22;28,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;20;Abitazioni civili;OTTIMO; ;9500;14000;L;28,6;38;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;19;Abitazioni signorili;OTTIMO;P;10800;16000;L;32,1;45;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;19;Abitazioni signorili;NORMALE; ;8000;10700;L;25;32;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;13;Box;NORMALE;P;3700;5500;L;15;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;9;Magazzini;NORMALE;P;1400;2000;L;8;12,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;5;Negozi;OTTIMO; ;8000;10000;L;50;66;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;5;Negozi;NORMALE;P;4400;7900;L;24;49,9;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;6;Uffici;OTTIMO;P;4600;8300;L;20;37;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;18;Uffici strutturati;OTTIMO;P;6000;9500;L;26;44;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B16;MI00003545;10;Laboratori;NORMALE;P;2300;3000;L;12,5;16;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;20;Abitazioni civili;NORMALE;P;6100;8200;L;17,6;26,4;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B17;MI00004767;20;Abitazioni civili;OTTIMO; ;7900;11500;L;26,5;35;L;
